Propeller,Date,Time,Handler,Preforming (Yet-to-Start),Preforming (In-Progress),Moulding (Yet-to-Start),Moulding (In-Progress),CNC Trimming,Trimming,Balancing,Polishing,Quality,Performance,Packaging,Shipping
Propeller_13,2024-01-13,80,C,Yet-to-Start,Completed,Yet-to-Start,Completed,In-Progress,Yet-to-Start,In-Progress,Yet-to-Start,Yet-to-Start,Completed,In-Progress,In-Progress
Propeller_14,2024-01-14,74,A,Yet-to-Start,Yet-to-Start,Yet-to-Start,Completed,In-Progress,In-Progress,In-Progress,In-Progress,Completed,Completed,Completed,Completed
Propeller_15,2024-01-15,193,C,In-Progress,Completed,Completed,Completed,In-Progress,Completed,In-Progress,Completed,Completed,Yet-to-Start,Completed,In-Progress
Propeller_16,2024-01-16,289,D,Completed,Completed,Completed,Yet-to-Start,In-Progress,In-Progress,In-Progress,Completed,In-Progress,In-Progress,Completed,Completed
Propeller_17,2024-01-17,263,B,In-Progress,In-Progress,In-Progress,Yet-to-Start,Yet-to-Start,In-Progress,Completed,In-Progress,Yet-to-Start,Yet-to-Start,Yet-to-Start,Completed
Propeller_18,2024-01-18,120,C,In-Progress,In-Progress,Completed,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Completed,In-Progress,Completed,Yet-to-Start,Yet-to-Start
Propeller_19,2024-01-19,208,C,In-Progress,Completed,Completed,In-Progress,In-Progress,In-Progress,In-Progress,Completed,Completed,Completed,In-Progress,Completed
Propeller_20,2024-01-20,246,C,Completed,Yet-to-Start,Yet-to-Start,In-Progress,Yet-to-Start,Completed,Completed,In-Progress,In-Progress,Completed,Yet-to-Start,Yet-to-Start
Propeller_21,2024-01-21,101,B,Yet-to-Start,Yet-to-Start,In-Progress,Completed,Completed,Yet-to-Start,Completed,Yet-to-Start,Completed,Completed,Yet-to-Start,In-Progress
Propeller_22,2024-01-22,97,C,In-Progress,Completed,Completed,Completed,Yet-to-Start,In-Progress,Completed,In-Progress,Yet-to-Start,Yet-to-Start,Yet-to-Start,Completed
Propeller_23,2024-01-23,263,A,Completed,Yet-to-Start,Yet-to-Start,Completed,Completed,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start,Yet-to-Start,In-Progress
Propeller_24,2024-01-24,191,B,In-Progress,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Completed,Yet-to-Start
Propeller_25,2024-01-25,238,D,In-Progress,Completed,Yet-to-Start,Yet-to-Start,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Completed,In-Progress,In-Progress,Yet-to-Start
Propeller_26,2024-01-26,157,D,In-Progress,Yet-to-Start,Completed,In-Progress,Completed,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start,Yet-to-Start,In-Progress,Completed
Propeller_27,2024-01-27,33,D,Completed,In-Progress,Completed,Yet-to-Start,Completed,Completed,In-Progress,Completed,In-Progress,In-Progress,Yet-to-Start,Yet-to-Start
Propeller_28,2024-01-28,246,C,Yet-to-Start,Completed,Yet-to-Start,Completed,Completed,In-Progress,Completed,In-Progress,Yet-to-Start,Completed,Completed,In-Progress
Propeller_29,2024-01-29,56,A,In-Progress,Yet-to-Start,Completed,Completed,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start,Completed,In-Progress,Yet-to-Start,In-Progress
Propeller_30,2024-01-30,219,A,Yet-to-Start,In-Progress,In-Progress,In-Progress,Completed,Completed,In-Progress,Yet-to-Start,Yet-to-Start,In-Progress,Completed,In-Progress
Propeller_31,2024-01-31,50,C,In-Progress,In-Progress,In-Progress,In-Progress,In-Progress,Completed,Yet-to-Start,Yet-to-Start,Yet-to-Start,Yet-to-Start,In-Progress,Yet-to-Start
Propeller_32,2024-02-01,293,D,Completed,Completed,In-Progress,In-Progress,Yet-to-Start,Completed,In-Progress,In-Progress,In-Progress,In-Progress,In-Progress,Completed
Propeller_33,2024-02-02,224,C,Yet-to-Start,Completed,Completed,Yet-to-Start,Completed,In-Progress,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start,In-Progress
Propeller_34,2024-02-03,53,D,In-Progress,Yet-to-Start,In-Progress,Yet-to-Start,Yet-to-Start,In-Progress,Yet-to-Start,Yet-to-Start,Yet-to-Start,Yet-to-Start,Completed,Completed
Propeller_35,2024-02-04,40,D,Completed,Yet-to-Start,In-Progress,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start,Completed,Yet-to-Start,In-Progress,Completed,In-Progress
Propeller_36,2024-02-05,297,A,Yet-to-Start,Yet-to-Start,Completed,Completed,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,Completed,Completed,Completed,Completed
Propeller_37,2024-02-06,228,B,Completed,In-Progress,Completed,Completed,In-Progress,In-Progress,Completed,In-Progress,Yet-to-Start,Yet-to-Start,Completed,Completed
Propeller_38,2024-02-07,184,D,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,Completed,Yet-to-Start,In-Progress,Completed,In-Progress,In-Progress,Completed,Yet-to-Start
Propeller_39,2024-02-08,285,C,Completed,In-Progress,Completed,Yet-to-Start,Completed,In-Progress,Yet-to-Start,In-Progress,Yet-to-Start,Yet-to-Start,Completed,Completed
Propeller_40,2024-02-09,62,C,Yet-to-Start,Completed,Yet-to-Start,Completed,Yet-to-Start,Completed,In-Progress,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start
Propeller_41,2024-02-10,277,A,Completed,Completed,In-Progress,Completed,Completed,Yet-to-Start,Completed,Completed,In-Progress,Completed,Yet-to-Start,In-Progress
Propeller_42,2024-02-11,138,D,In-Progress,In-Progress,Completed,Completed,In-Progress,Completed,In-Progress,Completed,Yet-to-Start,In-Progress,Yet-to-Start,Completed
Propeller_43,2024-02-12,281,D,Yet-to-Start,Yet-to-Start,Yet-to-Start,Yet-to-Start,In-Progress,Yet-to-Start,Completed,Completed,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress
Propeller_44,2024-02-13,95,A,In-Progress,In-Progress,In-Progress,In-Progress,In-Progress,Completed,Completed,Completed,Completed,Yet-to-Start,Completed,Yet-to-Start
Propeller_45,2024-02-14,108,D,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,In-Progress,Yet-to-Start,In-Progress,Completed,In-Progress,In-Progress,In-Progress,Completed
Propeller_46,2024-02-15,41,C,In-Progress,Completed,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start,Completed,Completed,In-Progress,Completed,Completed
Propeller_47,2024-02-16,59,B,In-Progress,Yet-to-Start,In-Progress,In-Progress,In-Progress,Completed,In-Progress,Completed,Yet-to-Start,In-Progress,Yet-to-Start,Yet-to-Start
Propeller_48,2024-02-17,135,C,Yet-to-Start,In-Progress,In-Progress,Completed,In-Progress,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,Completed,Yet-to-Start,Completed
Propeller_49,2024-02-18,151,B,In-Progress,Completed,Yet-to-Start,Completed,Completed,Yet-to-Start,In-Progress,Yet-to-Start,Completed,Completed,In-Progress,Yet-to-Start
Propeller_50,2024-02-19,54,B,In-Progress,Completed,Completed,In-Progress,In-Progress,Completed,Completed,In-Progress,Completed,Yet-to-Start,In-Progress,Completed
